INSTANCE_ACCOUNT_ID,INSTANCE_ACCOUNT_NAME,CREATED_TIMESTAMP,TICKETS_UPDATE_LIMIT,TICKETS_UPDATE_USED,ERRORS_429_COUNT
544787,Support,2014-06-24T13:41:57,100,392,18
9242688,Clipboard Health,2019-04-15T21:08:31,300,1637,9857
9103668,Jet Linx Aviation,2019-01-10T20:14:12,100,334,144
631443,Nutrient,2014-12-12T10:23:02,100,400,6035
66681,GitHub Support,2011-01-30T05:05:19,300,624,6
2404177,OSL Retail Services Inc.,2018-08-08T19:03:12,100,404,306
22305,doctorSIM,2009-12-18T10:44:30,2000,305,93
655184,RentalCover.com,2015-01-27T05:43:17,100,341,31
9192335,Ingram Micro,2019-03-12T12:26:01,300,336,11
527873,Contabilizei Contabilidade Online,2014-05-18T16:37:15,300,759,12897
453358,KnowBe4,2013-11-19T14:42:00,300,323,361
566583,myKaarma,2014-08-12T23:34:11,100,346,79
705372,AppZen Support,2015-04-04T00:41:22,100,303,38
321561,Deporvillage,2013-07-19T15:09:55,100,328,3695
1036025,Arctic Wolf Networks SANDBOX,2016-06-15T14:00:03,20,702,10353
125350,Withings,2011-12-29T13:38:04,100,334,165
2363712,Codefresh,2018-07-01T12:21:18,100,534,1809
9320628,Moderator Sushant,2019-06-12T16:29:00,100,700,1045
712357,Optimum,2015-04-14T17:36:06,100,577,1426
700934,Outreach,2015-03-28T18:38:28,100,418,892
9049451,Manual,2018-11-28T17:36:24,300,348,1722
1957940,Bird,2017-06-29T15:31:03,100,424,29
1937944,Omada Health,2017-06-13T21:27:07,300,496,18734
957089,PLM Group Customer Support,2016-03-12T08:12:25,100,405,87525
2170787,Compliance Operations,2017-12-20T18:25:08,100,346,40715
1098969,Celigo,2016-08-15T13:50:12,100,317,60
1381317,Just Eat Italy,2017-01-18T09:08:31,2000,1869,10190
885480,Personio,2015-12-17T23:07:06,300,319,1
489599,Just Eat UK,2014-02-18T14:32:37,600,324,1477
2148950,Ryanair,2017-12-01T09:31:39,300,379,19
1052279,Angel Flight West,2016-06-30T21:58:07,100,389,40
9211599,Cloud Conformity,2019-03-26T03:18:39,100,700,90
2123757,Evident,2017-11-08T16:53:49,100,396,1669
923210,Furbo,2016-02-03T10:18:16,100,333,212
1866775,Prijsvrij Vakanties,2017-04-24T15:04:14,100,344,270
1281259,Plarium Support Center,2016-11-08T10:06:05,100,323,5150
61229,VPN Support,2010-12-16T15:29:01,100,588,372
2128922,Breuninger,2017-11-17T15:30:58,300,394,623
196574,PastBook,2012-07-28T12:33:58,100,369,434
2144289,Atendimento Loja Electrolux,2017-11-27T19:58:40,100,727,4510
2037493,Exelot ltd,2017-09-05T12:27:12,100,342,232
1876045,Lyft,2017-05-01T17:59:38,600,301,7577
2349206,Epoca Cosmeticos,2018-06-18T14:00:09,300,2501,1042
9339968,iupp,2019-06-27T18:51:40,300,1115,56
212452,Wahoo Fitness Support,2012-09-14T18:26:29,100,699,18
1202839,group.one,2016-09-22T09:55:01,300,385,4
2292546,Candivore,2018-04-19T14:54:43,100,400,1809
1046214,Solink,2016-06-24T19:54:25,100,308,316
2161810,HyperJar,2017-12-12T19:54:16,100,460,18
1277194,6TOUR,2016-11-04T09:13:04,100,392,161
1331776,Bruno Fritsch,2016-12-22T14:26:48,300,462,903
61840,Rockstar Support,2010-12-21T23:22:13,2000,1004,516
9327699,Support,2019-06-17T15:12:59,100,694,6917
2016348,Etsy,2017-08-17T19:28:28,2000,1066,33302
575032,Shippo,2014-08-29T21:26:56,100,352,580
2283872,DSI Systems Inc,2018-04-11T12:44:27,100,701,3233
236789,RedWeek Customer Service,2012-11-27T19:35:39,100,347,20
555292,Postman,2014-07-17T14:01:32,100,611,2209
1608747,Spot,2017-03-15T15:04:49,100,639,473
780261,Tesco Support,2015-07-25T17:01:55,300,416,182
690439,fonQ,2015-03-13T15:05:38,100,408,906
795890,Polar Care,2015-08-18T12:55:09,100,342,466
2226511,iHerb,2018-02-15T23:37:11,100,508,69
974221,Cabify Support,2016-03-31T09:30:41,300,361,140
122906,Rover.com Support,2011-12-14T17:49:25,100,427,324
888863,monday.com,2015-12-22T16:07:49,300,1752,67
258183,eShopWorld ,2013-01-31T10:37:33,100,701,78
1470967,Uber Freight,2017-01-31T01:06:16,3000,832,11300
463898,Trek10,2013-12-13T20:40:28,100,400,394
2000676,Plaid,2017-08-03T20:05:58,300,451,325
1135018,ITRS,2016-08-23T13:49:40,100,322,116
9106476,Papaya,2019-01-13T08:41:57,300,762,21017
2003758,Hollywoodbets,2017-08-07T11:10:26,100,764,59
2280987,AirDroid Support,2018-04-11T05:44:00,100,314,57
9336876,SharkNinja,2019-06-24T08:59:17,300,363,12
2066120,ESPN,2017-09-26T15:52:40,300,369,15
2045581,Back Market,2017-09-11T10:25:55,300,304,16
2134345,Moon Active,2017-11-17T11:54:38,300,674,54931
1986480,Stanley Black & Decker,2017-07-24T19:22:09,300,1852,24630
687359,"Ryan, LLC",2015-03-09T15:41:50,100,351,162
60252,Taskrabbit Support,2010-12-09T05:05:27,100,603,11
9326833,Renner,2019-06-19T14:20:54,300,1036,1357
749863,Perk,2015-06-09T14:04:45,300,3765,3037
1407322,TradeInn,2017-01-25T16:29:29,2000,315,987
941346,Brevo,2016-02-23T17:20:06,300,634,4344
303389,Haley Marketing Group,2013-06-12T01:19:51,100,328,824
2023916,CTM Ticket Portal,2017-08-24T12:57:37,100,395,5291
454321,ManoMano.fr,2013-11-21T10:13:11,300,313,90
2125193,Phil,2017-11-09T17:07:16,300,306,1
1150442,Cloudflare,2016-08-26T22:27:24,100,400,515
9504,Dropbox Support,2009-03-31T02:37:23,2000,1944,3109
2070637,Tabit Support,2017-09-29T16:41:58,100,526,64
157948,Support Portal,2012-04-30T11:43:26,100,311,678
9078938,Wakie Support Team,2018-12-20T11:40:05,100,317,267
774413,Trustpilot,2015-07-16T14:31:18,300,320,30
1849627,Regnology,2017-04-10T11:05:16,300,377,95
9281891,Smiles Fidelidade S.A.,2019-05-15T17:50:55,300,335,125
2288770,Lookiero,2018-04-18T15:26:40,100,402,21
795717,GCash Support,2015-08-18T09:28:21,2000,584,14090
1876063,Remotasks,2017-05-01T18:11:53,100,308,11592
1046104,Jeitto Ajuda,2016-06-27T17:40:10,100,326,1
2261175,Stickerbeat,2018-03-20T16:22:20,100,401,2436
1982302,Holidu GmbH,2017-07-20T10:00:56,100,340,119
2378907,ApsunFit,2018-07-28T01:04:37,100,417,12730
636395,CD Baby,2014-12-22T21:13:19,100,704,1273
712437,Reverb.com,2015-04-14T19:17:02,300,387,18
162971,Player Experience,2012-05-18T09:57:24,100,1729,5085
245528,AppsFlyer Support,2012-12-25T19:46:42,100,386,1568
5194,Twilio,2008-09-26T20:45:50,300,789,5343
831517,Twilio SANDBOX,2015-10-06T23:20:14,100,465,426
582573,Dialpad,2014-09-15T15:23:40,100,573,8236
2457617,Guardio,2018-10-02T07:59:12,300,305,39889
510960,ProtonMail,2014-04-07T16:17:33,100,312,800
2350998,Amber Electric,2018-06-18T12:33:33,100,393,35
2305626,Trextel,2018-05-02T16:23:41,100,315,305
9020356,BJ's Member Care,2018-11-07T19:40:15,300,312,80
9079190,Attentive,2018-12-20T15:42:39,100,666,13371
1957445,MILES,2017-07-04T10:19:33,300,600,236
9239643,Oura Ring,2019-04-13T01:08:37,300,1881,6281
2219506,Workwell,2018-02-08T18:19:17,100,317,270
9250918,EHG,2019-04-26T08:13:15,100,524,141
2248466,Carestream Dental,2018-03-08T19:13:14,100,352,147
9193528,Foot Locker,2019-03-12T19:29:46,300,780,3703
1851374,Conta Azul,2017-04-12T22:43:00,300,588,814
11290,Upwork Help,2009-05-26T17:40:50,1500,618,321
946230,Greenlight Planet,2016-02-29T07:42:39,300,353,420
132862,SageSure ,2012-01-30T20:05:44,100,349,49
9171351,TomTom,2019-02-25T13:55:53,100,636,4311
9266575,Collective Health,2019-05-03T23:05:07,300,397,9181
261010,Cloudinary Support,2013-02-07T13:28:27,100,388,1
414345,Kaseya,2013-10-04T12:11:33,300,622,53
1024340,Calendly,2016-06-01T04:21:04,300,335,727
1068716,Cabify Fleet Support,2016-07-27T13:07:05,300,647,121
2078614,"hims, inc.",2017-10-06T00:31:33,100,305,1134
2357269,Upcoop,2018-06-28T09:25:06,300,373,4353
2359162,Ticketmaster,2018-06-26T16:16:46,300,377,1462
9017282,Secureworks,2018-11-05T17:58:23,300,327,21
634376,Datadog,2014-12-17T20:41:32,300,2255,13366
712989,Cloudbeds,2015-04-15T13:33:24,100,612,543
1920221,Generation Tux,2017-05-31T20:10:57,100,400,551
354735,ACERTUS,2013-08-16T14:50:54,100,441,412
108093,TickPick,2011-10-05T23:34:33,100,338,22
625143,Fibrenoire,2014-12-02T02:00:24,100,326,2304
302220,Arctic Wolf Networks,2013-06-08T03:57:22,300,304,269
26563,Roblox,2010-02-11T23:47:01,300,432,22157
603258,JUST EAT Ireland,2014-10-23T11:20:32,300,1667,16802
33952,Auction Technology Group,2010-04-27T16:03:54,100,359,105
2029595,Serasa,2017-08-30T18:43:24,100,529,111
1941654,McDonald’s Customer Services,2017-06-16T09:24:34,100,324,46
1387098,Trackman,2017-01-17T19:14:11,100,303,14
2157161,sahibinden.com,2017-12-08T11:38:25,300,596,1235
2158976,Ticket ID {{ticket.id}},2017-12-13T10:12:17,3000,382,110
1901284,Equipo MACH,2017-05-19T13:24:59,300,314,29
9003997,HireVue,2018-10-29T19:29:04,100,701,491
688946,Confluent,2015-03-11T16:14:53,300,742,1
543520,Rebag,2014-06-20T17:15:50,100,396,121
678183,Discord,2015-02-24T20:42:58,300,416,8
387947,Safeguard Global,2013-09-11T14:32:16,300,2500,175
277407,Edmunds,2013-03-25T23:00:43,100,490,105
1509203,Enumerate,2017-02-15T20:06:36,100,343,401
2042105,PLAYERUNKNOWN'S BATTLEGROUNDS,2017-09-08T08:51:33,100,301,10
43400,Riot Games Player Support,2010-08-06T16:58:47,300,350,1
2196395,Aila Technologies,2018-01-17T18:17:18,100,430,5795
1593505,HealthTap,2017-03-07T18:16:38,300,325,468
653112,Loggi,2015-01-23T15:48:12,4000,307,370
582325,OneNet Support,2014-09-15T04:40:30,100,549,10725
9051599,SwissBorg,2018-11-29T23:30:24,100,303,328
638815,Compass,2014-12-30T16:07:55,100,358,6
47685,RMM Support Team,2010-09-15T13:46:23,300,417,2
1024770,Kushki,2016-06-01T15:41:38,100,351,83
2082921,AvaTrade,2017-10-09T12:28:41,100,364,27
551876,Envestnet Wealth,2014-07-09T20:07:23,100,372,21
566311,Findmypast ,2014-08-12T14:00:28,100,598,2237
138842,Slack,2012-02-17T18:26:44,2000,386,459
594892,Snapchat,2014-10-07T19:01:13,300,647,158806
717332,tumblr,2015-04-21T18:47:29,100,628,811
1235726,Customer Support,2016-10-10T10:41:08,100,392,2736
427098,Support,2013-10-16T10:14:50,100,604,55
294997,Fever,2013-05-17T15:35:45,100,325,55
1406013,Sprinklr,2017-01-20T15:44:48,100,400,903
371365,Kraken Support,2013-08-28T23:20:43,300,1454,6596
990943,Momox,2016-04-20T10:16:55,100,331,448
1929170,nShift,2017-06-07T12:41:04,100,699,5695
9047795,Multi Media LLC,2018-11-27T18:47:50,300,684,102
1202016,Northwestern Mutual Help Center,2016-09-21T19:30:29,300,340,727
958463,QuintoAndar.com,2016-03-14T14:53:57,1500,670,1547
9340156,Capture One,2019-06-26T11:06:35,100,336,36
9049502,Logitech,2018-11-28T18:17:56,300,776,5
1258405,Privacy,2016-10-19T23:04:26,100,570,3491
9338377,CARET Support,2019-06-24T20:27:27,100,664,209
2363060,Magazine Luiza,2018-07-03T14:19:18,2000,2000,2305
841673,Wealthsimple,2015-10-20T14:07:26,300,305,159
983591,PAIR,2016-04-11T16:32:10,300,501,43
587240,Omio Service,2014-09-24T09:44:16,100,626,4820
957663,ServiceMarket,2016-03-13T10:11:59,100,307,428
781284,Chime,2015-07-27T20:51:19,2000,1015,132
473962,- 🇧🇷 -,2014-01-14T19:05:32,4000,827,671
38806,Fiverr Customer Support,2010-06-19T05:29:01,100,375,5741
249660,Méliuz,2013-01-09T15:57:15,100,307,14
2025193,Customer Support,2017-08-25T13:17:05,100,346,6157
508995,Favor,2014-04-02T16:24:43,100,334,86
1565918,Talkspace Support,2017-02-27T20:32:14,100,333,1210
2271288,Taptap Send,2018-04-11T22:31:57,300,2045,605
